"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"265","2.348803348","142.250.75.74","10.0.0.6","QUIC","64","","","0x80","","Protected Payload (KP0)"
"266","2.348803390","35.227.252.103","10.0.0.6","UDP","423","","","0x80","","443  >  47848 Len=381"
"267","2.349136327","143.244.200.230","10.0.0.6","TCP","66","0x010","656","0x00","","443  >  53072 [ACK] Seq=1 Ack=9381 Win=656 Len=0 TSval=702557579 TSecr=1468380077"
"268","2.349136400","143.244.200.230","10.0.0.6","TLSv1.2","105","0x018","658","0x00","TLS 1.2","Application Data"
"269","2.349136437","143.244.200.230","10.0.0.6","TCP","66","0x010","658","0x00","","443  >  53072 [ACK] Seq=40 Ack=12157 Win=658 Len=0 TSval=702557580 TSecr=1468380077"
"270","2.349172252","10.0.0.6","143.244.200.230","TCP","2842","0x018","685","0x00","","53072  >  443 [PSH, ACK] Seq=12157 Ack=1 Win=685 Len=2776 TSval=1468380220 TSecr=702557579 [TCP PDU reassembled in 271]"
"271","2.349443768","10.0.0.6","143.244.200.230","TLSv1.2","2842","0x018","685","0x00","TLS 1.2,TLS 1.2","Application Data, Application Data"
"272","2.349596268","10.0.0.6","143.244.200.230","TCP","66","0x010","685","0x00","","53072  >  443 [ACK] Seq=17709 Ack=40 Win=685 Len=0 TSval=1468380221 TSecr=702557580"
"273","2.349821901","10.0.0.6","143.244.200.230","TLSv1.2","1271","0x018","685","0x00","TLS 1.2","Application Data"
"274","2.350349756","10.0.0.6","142.250.75.74","QUIC","75","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"275","2.365429478","69.173.156.139","10.0.0.6","TCP","66","0x010","5596","0x00","","443  >  47936 [ACK] Seq=1 Ack=2041 Win=22384 Len=0 TSval=2757366955 TSecr=1398021609"
"276","2.368703766","69.173.156.139","10.0.0.6","TLSv1.3","205","0x018","6295","0x00","TLS 1.2,TLS 1.2","Server Hello, Change Cipher Spec"
"277","2.368756854","10.0.0.6","69.173.156.139","TCP","66","0x010","501","0x00","","47936  >  443 [ACK] Seq=2041 Ack=140 Win=64128 Len=0 TSval=1398021683 TSecr=2757366956"
"278","2.369212191","69.173.156.139","10.0.0.6","TLSv1.3","103","0x018","6995","0x00","TLS 1.2","Application Data"
"279","2.369212341","69.173.156.139","10.0.0.6","TLSv1.3","140","0x018","7694","0x00","TLS 1.2","Application Data"
"280","2.369237745","10.0.0.6","69.173.156.139","TCP","66","0x010","501","0x00","","47936  >  443 [ACK] Seq=2041 Ack=177 Win=64128 Len=0 TSval=1398021684 TSecr=2757366956"
"281","2.369377333","10.0.0.6","69.173.156.139","TCP","66","0x010","501","0x00","","47936  >  443 [ACK] Seq=2041 Ack=251 Win=64128 Len=0 TSval=1398021684 TSecr=2757366956"
"282","2.369654974","10.0.0.6","69.173.156.139","TLSv1.3","146","0x018","501","0x00","TLS 1.2,TLS 1.2","Change Cipher Spec, Application Data"
"283","2.369922272","10.0.0.6","69.173.156.139","TLSv1.3","158","0x018","501","0x00","TLS 1.2","Application Data"
"284","2.370284698","10.0.0.6","69.173.156.139","TLSv1.3","2174","0x018","501","0x00","TLS 1.2","Application Data"
"285","2.370519995","10.0.0.6","69.173.156.139","TLSv1.3","1268","0x018","501","0x00","TLS 1.2","Application Data"
"286","2.374807809","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x018","1050","0x80","TLS 1.2","Application Data"
"287","2.375954243","10.0.0.6","35.227.252.103","UDP","78","","","0x00","","47848  >  443 Len=36"
"288","2.377898481","142.250.75.142","10.0.0.6","TLSv1.3","1397","0x018","1050","0x80","TLS 1.2","Application Data"
"289","2.378102533","10.0.0.6","142.250.75.142","TCP","66","0x010","643","0x00","","58082  >  443 [ACK] Seq=3500 Ack=11579 Win=82304 Len=0 TSval=3508699140 TSecr=2102857972"
"290","2.378369160","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x018","1050","0x80","TLS 1.2","Application Data"
"291","2.378369222","142.250.75.142","10.0.0.6","TLSv1.3","2112","0x018","1050","0x80","TLS 1.2,TLS 1.2","Application Data, Application Data"
"292","2.378724044","10.0.0.6","142.250.75.142","TCP","66","0x010","643","0x00","","58082  >  443 [ACK] Seq=3500 Ack=15024 Win=82304 Len=0 TSval=3508699141 TSecr=2102857972"
"293","2.381551001","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x018","1050","0x80","TLS 1.2","Application Data"
"294","2.381551216","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x018","1050","0x80","TLS 1.2","Application Data"
"295","2.381551261","142.250.75.142","10.0.0.6","TLSv1.3","2864","0x018","1050","0x80","TLS 1.2,TLS 1.2","Application Data, Application Data"
"296","2.381901215","142.250.75.142","10.0.0.6","TLSv1.3","3130","0x018","1050","0x80","TLS 1.2,TLS 1.2,TLS 1.2","Application Data, Application Data, Application Data"
"297","2.383896928","10.0.0.6","142.250.75.142","TCP","66","0x010","646","0x00","","58082  >  443 [ACK] Seq=3500 Ack=23684 Win=82688 Len=0 TSval=3508699146 TSecr=2102857976"
"298","2.385338605","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x018","1050","0x80","TLS 1.2","Application Data"
"299","2.385338782","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x018","1050","0x80","TLS 1.2","Application Data"
"300","2.385825912","142.250.75.142","10.0.0.6","TLSv1.3","2864","0x018","1050","0x80","TLS 1.2,TLS 1.2","Application Data, Application Data"
"301","2.385826103","142.250.75.142","10.0.0.6","TLSv1.3","581","0x018","1050","0x80","TLS 1.2","Application Data"
